Id,ZH
81406,景德镇瓷器
81407,八一南昌起义
81408,航空产业
81409,婺源
81410,瓦罐汤
81500,山东
81501,曲阜三孔
81502,泰山
81503,青岛国际啤酒节
81504,烟台苹果
81505,鲁菜
81506,沂蒙山
81507,胶州湾跨海大桥
81508,潍坊风筝
81509,趵突泉
81510,煎饼卷大葱
81600,河南
81601,嵩山少林寺
81602,龙门石窟
81603,殷墟
81604,河南烩面
81605,豫剧
81606,红旗渠精神+焦裕禄精神
81607,陈氏太极
81608,三门峡+小浪底
81609,洛阳牡丹
81610,农业大省
81700,湖北
81701,黄鹤楼
81702,神农架
81703,武汉长江大桥
81704,热干面
81705,三峡大坝
81706,高校云集
81707,光谷
81708,楚文化
81709,武当山
81710,第一将军县红安
81800,湖南
81801,洞庭湖
81802,花鼓戏
81803,湘菜
81804,岳阳楼
81805,凤凰古城
81806,韶山毛泽东故居
81807,杂交水稻
81808,张家界
81809,马王堆汉墓
81810,十八洞村
81900,广东
81901,深圳奇迹
81902,港珠澳大桥
81903,粤菜
81904,丹霞山
81905,岭南文化
81906,广州塔
81907,GDP总量第一
81908,广交会
81909,粤语
81910,孙中山故居
82000,广西壮族自治区
82001,桂林山水
82002,龙脊梯田
82003,三江风雨桥
82004,螺蛳粉
82005,中国—东盟博览会
82006,壮族山歌
82007,百色革命老区
82008,长寿之乡
82009,北部湾港
82010,三月三
82100,海南
82101,天涯海角
82102,亚龙湾
82103,南山海上观音
82104,骑楼老街
82105,全岛自贸区
82106,博鳌亚洲论坛
82107,椰子椰林
82108,《红色娘子军》
82109,三沙市
82110,文昌卫星发射中心
82200,重庆
82201,朝天门码头
82202,武隆天坑
82203,重庆火锅
82204,大足石刻
82205,解放碑
82206,红岩精神
82207,8D网红魔幻城
82208,三线重镇
82209,川江号子
82210,中国国际智能产业博览会
82300,四川
82301,大熊猫
82302,峨眉山
82303,川剧
82304,都江堰
82305,川菜
82306,蜀国文化
82307,西昌卫星发射基地
82308,三星堆
82309,九寨沟
82310,映秀新城
82400,贵州
82401,黄果树瀑布
82402,中国天眼
82403,梵净山
82404,茅台
82405,侗族大歌
82406,酸汤鱼
82407,遵义会议会址
82408,国家大数据中心
82409,四渡赤水战斗遗址
82410,千户苗寨
82500,云南
82501,香格里拉
82502,过桥米线
82503,茶马古道、普洱茶
82504,泼水节、火把节
82505,哈尼梯田
82506,苍山洱海
82507,云南白药
82508,丽江古城
82509,中泰铁路
82510,滇金丝猴
82600,西藏自治区
82601,布达拉宫
82602,珠穆朗玛峰
82603,酥油茶
82604,青藏公路、川藏公路
82605,大昭寺
82606,藏羚羊
82607,纳木错湖
82608,林芝桃花
82609,《格萨尔》
82610,唐卡
82700,陕西
82701,兵马俑
82702,革命圣地
82703,秦岭
82704,大雁塔
82705,羊肉泡馍
82706,秦腔
82707,西安城墙
82708,安塞腰鼓
82709,法门寺
82710,华山
82800,甘肃
82801,敦煌莫高窟
82802,酒泉卫星发射中心
82803,嘉峪关
82804,刘家峡水库
82805,兰州拉面
82806,马踏飞燕
82807,七彩丹霞
82808,麦积山石窟
82809,羊皮筏子
82810,拉卜楞寺
82900,青海
82901,门源油菜花海
82902,塔尔寺
82903,青藏铁路
82904,青海花儿
82905,三江源
82906,酥油花
82907,可可西里
82908,青稞酒
82909,环青海湖自行车赛
82910,引黄济宁工程
83000,宁夏回族自治区
83001,枸杞
83002,青铜峡水利枢纽
83003,贺兰山
83004,西夏王陵
83005,西部影城
83006,盐池滩羊
83007,“治沙神器”草方格
83008,沙坡头
83009,黄河大桥
83010,六盘山
83100,新疆维吾尔自治区
83101,大巴扎
83102,坎儿井
83103,喀纳斯湖
83104,霍尔果斯口岸
83105,天山天池
83106,和田玉
83107,新疆瓜果
83108,手抓饭、烤羊肉串
83109,民族歌舞
83110,新疆生产建设兵团
83200,香港
83201,流行音乐
83202,港片
83203,太平山
83204,国际金融中心
83205,港交所
83206,武侠小说
83207,维多利亚港
83208,金紫荆广场
83209,跑马地
83210,购物、美食天堂
83300,澳门
83301,澳门赛马会
83302,大三巴
83303,卢廉若公园
83304,妈祖阁
83305,澳门豆捞
83306,议事亭前地
83307,金莲花广场
83308,蛋挞
83309,渔人码头
83310,澳门旅游塔
83400,台湾
83401,日月潭
83402,阿里山
83403,101大楼
83404,台北故宫
83405,台湾音乐
83406,偶像剧
83407,士林夜市
83408,半导体产业
83409,热带水果
83410,歌仔戏
