Level,MoneyProfit,CommonUpgradeCost,RareUpgradeCost,LegendaryUpgradeCost
389,426520,1.76594592889E+11,1.33055514349E+11,1.66918419864E+11
390,435840,1.82291196818E+11,1.37044252816E+11,1.71765655663E+11
391,447738,1.89169872808E+11,1.41903061453E+11,1.77693778294E+11
392,459636,1.96164459118E+11,1.46828292114E+11,1.83694430492E+11
393,471534,2.03276187027E+11,1.51820522867E+11,1.89768156912E+11
394,483432,2.10506296323E+11,1.56880335187E+11,1.95915504930E+11
395,495330,2.17856035331E+11,1.62008313970E+11,2.02137024663E+11
396,507228,2.25326660959E+11,1.67205047547E+11,2.08433268970E+11
397,519126,2.32919438729E+11,1.72471127698E+11,2.14804793466E+11
398,531024,2.40635642819E+11,1.77807149665E+11,2.21252156530E+11
399,542922,2.48476556096E+11,1.83213712168E+11,2.27775919316E+11
400,554820,2.56443470159E+11,1.88691417412E+11,2.34376645759E+11
401,570022,2.66079955976E+11,1.95373307063E+11,2.42460267161E+11
402,585224,2.75875532708E+11,2.02145185232E+11,2.50641351845E+11
403,600426,2.85831856844E+11,2.09007823808E+11,2.58920622269E+11
404,615628,2.95950596124E+11,2.15961999172E+11,2.67298804473E+11
405,630830,3.06233429587E+11,2.23008492221E+11,2.75776628093E+11
406,646032,3.16682047621E+11,2.30148088377E+11,2.84354826367E+11
407,661234,3.27298152009E+11,2.37381577612E+11,2.93034136155E+11
408,676436,3.38083455980E+11,2.44709754462E+11,3.01815297947E+11
409,691638,3.49039684259E+11,2.52133418046E+11,3.10699055878E+11
410,706840,3.60168573114E+11,2.59653372084E+11,3.19686157736E+11
411,726278,3.73651182474E+11,2.68838418911E+11,3.30706191359E+11
412,745716,3.87352000438E+11,2.78145369414E+11,3.41857206038E+11
413,765154,4.01273255305E+11,2.87575254500E+11,3.53140160456E+11
414,784592,4.15417190263E+11,2.97129111004E+11,3.64556018004E+11
415,804030,4.29786063448E+11,3.06807981713E+11,3.76105746794E+11
416,823468,4.44382148016E+11,3.16612915389E+11,3.87790319681E+11
417,842906,4.59207732199E+11,3.26544966792E+11,3.99610714274E+11
418,862344,4.74354155130E+11,3.36668388994E+11,4.11645178305E+11
419,881782,4.90269753311E+11,3.47299839290E+11,4.24280042304E+11
420,901220,5.06458043337E+11,3.58085548783E+11,4.37081987900E+11
421,926094,5.26009585974E+11,3.71205823869E+11,4.52709650618E+11
422,950968,5.45905749115E+11,3.84521406572E+11,4.68549102327E+11
423,975842,5.66150336954E+11,3.98034079836E+11,4.84602020371E+11
424,1000716,5.86747180507E+11,4.11745637334E+11,5.00870090658E+11
425,1025590,6.07700137732E+11,4.25657883508E+11,5.17355007683E+11
426,1050464,6.29013093644E+11,4.39772633610E+11,5.34058474562E+11
427,1075338,6.50689960434E+11,4.54091713749E+11,5.50982203061E+11
428,1100212,6.72734677591E+11,4.68616960931E+11,5.68127913625E+11
429,1125086,6.95151212013E+11,4.83350223104E+11,5.85497335411E+11
430,1149960,7.17943558134E+11,4.98293359199E+11,6.03092206315E+11
431,1181814,7.45518902955E+11,5.16498771176E+11,6.24603289176E+11
432,1213668,7.73569648686E+11,5.34970142854E+11,6.46400396376E+11
433,1245522,8.02100930343E+11,5.53709862549E+11,6.68485759537E+11
434,1277376,8.31117918507E+11,5.72720332757E+11,6.90861621557E+11
435,1309230,8.60625819484E+11,5.92003970207E+11,7.13530236643E+11
436,1341084,8.90629875451E+11,6.11563205920E+11,7.36493870351E+11
437,1372938,9.21135364618E+11,6.31400485264E+11,7.59754799627E+11
438,1404792,9.52147601379E+11,6.51518268008E+11,7.83315312847E+11
439,1436646,9.83671936468E+11,6.71919028385E+11,8.07177709853E+11
440,1468500,1.015713757116E+12,6.92605255140E+11,8.31344301995E+11
441,1509324,1.054545713495E+12,7.17845649892E+11,8.60933992784E+11
442,1550148,1.094032927330E+12,7.43448126666E+11,8.90909954623E+11
443,1590972,1.134182328946E+12,7.69415885255E+11,9.21275157698E+11
444,1631796,1.175000895846E+12,7.95752144205E+11,9.52032587040E+11
445,1672620,1.216495652913E+12,8.22460140883E+11,9.83185242585E+11
446,1713444,1.258673672609E+12,8.49543131554E+11,1.014736139221E+12
447,1754268,1.301542075183E+12,8.77004391454E+11,1.046688306840E+12
448,1795092,1.345108028871E+12,9.04847214864E+11,1.079044790391E+12
449,1835916,1.389378750098E+12,9.33074915182E+11,1.111808649929E+12
450,1876740,1.434361503686E+12,9.61690824998E+11,1.144982960668E+12
451,1929101,1.488968387352E+12,9.96658820170E+11,1.185661669699E+12
452,1981462,1.544477756494E+12,1.032119668330E+12,1.226862043826E+12
453,2033823,1.600898963509E+12,1.068077657373E+12,1.268588037813E+12
454,2086184,1.658241423395E+12,1.104537099999E+12,1.310843626000E+12
455,2138545,1.716514614018E+12,1.141502333816E+12,1.353632802373E+12
456,2190906,1.775728076374E+12,1.178977721429E+12,1.396959580625E+12
457,2243267,1.835891414855E+12,1.216967650541E+12,1.440827994231E+12
458,2295628,1.897014297518E+12,1.255476534048E+12,1.485242096508E+12
459,2347989,1.959106456349E+12,1.294508810133E+12,1.530205960688E+12
460,2400350,2.022177687534E+12,1.334068942369E+12,1.575723679982E+12
461,2467560,2.098868180312E+12,1.382480754181E+12,1.631617931195E+12
462,2534770,2.176800817738E+12,1.431563311301E+12,1.688216726954E+12
463,2601980,2.255988219818E+12,1.481322360966E+12,1.745525335074E+12
464,2669190,2.336443089655E+12,1.531763683253E+12,1.803549049192E+12
465,2736400,2.418178213799E+12,1.582893091201E+12,1.862293188857E+12
466,2803610,2.501206462591E+12,1.634716430940E+12,1.921763099610E+12
467,2870820,2.585540790518E+12,1.687239581812E+12,1.981964153079E+12
468,2938030,2.671194236554E+12,1.740468456503E+12,2.042901747067E+12
469,3005240,2.758179924517E+12,1.794409001168E+12,2.104581305635E+12
470,3072450,2.846511063418E+12,1.849067195555E+12,2.167008279194E+12
471,3158786,2.954087527676E+12,1.916050466220E+12,2.243773876316E+12
472,3245122,3.063372579903E+12,1.983946466286E+12,2.321491070219E+12
473,3331458,3.174383248634E+12,2.052762900771E+12,2.400166880558E+12
474,3417794,3.287136672748E+12,2.122507518177E+12,2.479808361067E+12
475,3504130,3.401650101931E+12,2.193188110659E+12,2.560422599669E+12
476,3590466,3.517940897127E+12,2.264812514185E+12,2.642016718597E+12
477,3676802,3.636026530997E+12,2.337388608706E+12,2.724597874504E+12
478,3763138,3.755924588379E+12,2.410924318319E+12,2.808173258579E+12
479,3849474,3.877652766747E+12,2.485427611436E+12,2.892750096667E+12
480,3935810,4.001228876672E+12,2.560906500947E+12,2.978335649378E+12
481,4046800,4.151965533961E+12,2.653534965873E+12,3.083723939999E+12
482,4157790,4.305051098321E+12,2.747405331694E+12,3.190397630774E+12
483,4268780,4.460508546685E+12,2.842527930686E+12,3.298366079676E+12
484,4379770,4.618361002572E+12,2.938913152740E+12,3.407638689677E+12
485,4490760,4.778631736695E+12,3.036571445574E+12,3.518224908897E+12
486,4601750,4.941344167548E+12,3.135513314958E+12,3.630134230753E+12
487,4712740,5.106521862018E+12,3.235749324923E+12,3.743376194111E+12
488,4823730,5.274188535981E+12,3.337290097984E+12,3.857960383437E+12
489,4934720,5.444368054909E+12,3.440146315357E+12,3.973896428950E+12
490,5045710,5.617084434473E+12,3.544328717175E+12,4.091194006771E+12
491,5188504,5.828086292061E+12,3.672358578223E+12,4.235827211202E+12
492,5331298,6.042315783843E+12,3.802078126961E+12,4.382196918774E+12
493,5474092,6.259803913806E+12,3.933501222439E+12,4.530315610006E+12
494,5616886,6.480581880749E+12,4.066641800075E+12,4.680195824868E+12
495,5759680,6.704681079070E+12,4.201513871941E+12,4.831850162976E+12
496,5902474,6.932133099553E+12,4.338131527047E+12,4.985291283792E+12
497,6045268,7.162969730158E+12,4.476508931630E+12,5.140531906820E+12
498,6188062,7.397222956814E+12,4.616660329433E+12,5.297584811805E+12
499,6330856,7.634924964210E+12,4.758600041998E+12,5.456462838932E+12
500,6473650,7.876108136596E+12,4.902342468948E+12,5.617178889024E+12
501,6657502,8.171198293080E+12,5.079226582818E+12,5.815611837236E+12
502,6841354,8.470721631705E+12,5.258409553091E+12,6.016391028338E+12
503,7025206,8.774719989850E+12,5.439909974527E+12,6.219533114464E+12
504,7209058,9.083235463896E+12,5.623746543163E+12,6.425054826340E+12
505,7392910,9.396310410261E+12,5.809938056693E+12,6.632972973540E+12
506,7576762,9.713987446440E+12,5.998503414835E+12,6.843304444744E+12
507,7760614,1.0036309452037E+13,6.189461619713E+12,7.056066208002E+12
508,7944466,1.0363319569809E+13,6.382831776226E+12,7.271275310989E+12
509,8128318,1.0695061206711E+13,6.578633092428E+12,7.488948881269E+12
510,8312170,1.1031578034941E+13,6.776884879905E+12,7.709104126555E+12
511,8549067,1.1443920897486E+13,7.021171311831E+12,7.981280349024E+12
512,8785964,1.1862350472917E+13,7.268585377078E+12,8.256627164065E+12
513,9022861,1.2286923221765E+13,7.519152031587E+12,8.535166799533E+12
514,9259758,1.2717695949052E+13,7.772896365683E+12,8.816921587234E+12
515,9496655,1.3154725805648E+13,8.029843604563E+12,9.101913963265E+12
516,9733552,1.3598070289638E+13,8.290019108789E+12,9.390166468353E+12
517,9970449,1.4047787247687E+13,8.553448374779E+12,9.681701748196E+12
518,10207346,1.4503934876407E+13,8.820157035303E+12,9.976542553804E+12
519,10444243,1.4966571723734E+13,9.090170859974E+12,1.0274711741840E+13
520,10681140,1.5435756690301E+13,9.363515755748E+12,1.0576232274969E+13
521,10986621,1.6011500851716E+13,9.700774870803E+12,1.0949479365477E+13
522,11292102,1.6595599269242E+13,1.0042289289118E+13,1.1327011817524E+13
523,11597583,1.7188128145628E+13,1.0388092514191E+13,1.1708859314906E+13
524,11903064,1.7789164142013E+13,1.0738218227913E+13,1.2095051678991E+13
525,12208545,1.8398784379710E+13,1.1092700291211E+13,1.2485618869171E+13
526,12514026,1.9017066442010E+13,1.1451572744695E+13,1.2880590983300E+13
527,12819507,1.9644088375970E+13,1.1814869809306E+13,1.3279998258151E+13
528,13124988,2.0279928694224E+13,1.2182625886967E+13,1.3683871069857E+13
529,13430469,2.0924666376788E+13,1.2554875561231E+13,1.4092239934365E+13
530,13735950,2.1578380872869E+13,1.2931653597934E+13,1.4505135507882E+13
531,14130172,2.2381714847234E+13,1.3397132273770E+13,1.5016898450324E+13
532,14524394,2.3196512103547E+13,1.3868400775414E+13,1.5534454627838E+13
533,14918616,2.4022875502748E+13,1.4345504095694E+13,1.6057843699013E+13
534,15312838,2.4860908515987E+13,1.4828487464373E+13,1.6587105504621E+13
535,15707060,2.5710715226979E+13,1.5317396348995E+13,1.7122280068194E+13
536,16101282,2.6572400334368E+13,1.5812276455735E+13,1.7663407596618E+13
537,16495504,2.7446069154095E+13,1.6313173730257E+13,1.8210528480715E+13
538,16889726,2.8331827621775E+13,1.6820134358560E+13,1.8763683295837E+13
539,17283948,2.9229782295078E+13,1.7333204767843E+13,1.9322912802458E+13
540,17678170,3.0140040356111E+13,1.7852431627357E+13,1.9888257946760E+13
541,18187301,3.1260214454295E+13,1.8494713106550E+13,2.0589848371146E+13
542,18696432,3.2396114066564E+13,1.9144872859543E+13,2.1299272179704E+13
543,19205563,3.3547878058389E+13,1.9802971328325E+13,2.2016582381988E+13
544,19714694,3.4715646107908E+13,2.0469069269727E+13,2.2741832228937E+13
545,20223825,3.5899558709036E+13,2.1143227756542E+13,2.3475075213642E+13
546,20732956,3.7099757174582E+13,2.1825508178646E+13,2.4216365072117E+13
547,21242087,3.8316383639364E+13,2.2515972244120E+13,2.4965755784075E+13
548,21751218,3.9549581063349E+13,2.3214681980375E+13,2.5723301573702E+13
549,22260349,4.0799493234784E+13,2.3921699735281E+13,2.6489056910435E+13
550,22769480,4.2066264773341E+13,2.4637088178297E+13,2.7263076509740E+13
551,23427518,4.3627339661741E+13,2.5523137208971E+13,2.8224814296362E+13
552,24085556,4.5209982722532E+13,2.6419907297056E+13,2.9197146582643E+13
553,24743594,4.6814381460266E+13,2.7327479666150E+13,3.0180144256738E+13
554,25401632,4.8440724462290E+13,2.8245935958438E+13,3.1173878526809E+13
555,26059670,5.0089201402841E+13,2.9175358236168E+13,3.2178420922045E+13
556,26717708,5.1760003047158E+13,3.0115828983127E+13,3.3193843293678E+13
557,27375746,5.3453321255594E+13,3.1067431106123E+13,3.4220217815997E+13
558,28033784,5.5169348987749E+13,3.2030247936461E+13,3.5257616987372E+13
559,28691822,5.6908280306605E+13,3.3004363231440E+13,3.6306113631276E+13
560,29349860,5.8670310382676E+13,3.3989861175833E+13,3.7365780897308E+13
561,30201006,6.0844681970522E+13,3.5211974978241E+13,3.8684041569043E+13
562,31052152,6.3048630256727E+13,3.6448680060599E+13,4.0016634687283E+13
563,31903298,6.5282408468744E+13,3.7700085611568E+13,4.1363655093329E+13
564,32754444,6.7546271277385E+13,3.8966301376617E+13,4.2725198052982E+13
565,33605590,6.9840474802237E+13,4.0247437659968E+13,4.4101359257880E+13
566,34456736,7.2165276617077E+13,4.1543605326540E+13,4.5492234826835E+13
567,35307882,7.4520935755305E+13,4.2854915803898E+13,4.6897921307172E+13
568,36159028,7.6907712715398E+13,4.4181481084215E+13,4.8318515676077E+13
569,37010174,7.9325869466363E+13,4.5523413726226E+13,4.9754115341942E+13
570,37861320,8.1775669453213E+13,4.6880826857194E+13,5.1204818145714E+13
571,38963084,8.4802845707224E+13,4.8566221389201E+13,5.3011703768521E+13
572,40064848,8.7870575512495E+13,5.0271477186156E+13,5.4837983756623E+13
573,41166612,9.0979200926543E+13,5.1996741082907E+13,5.6683785058692E+13
574,42268376,9.4129065931780E+13,5.3742160655360E+13,5.8549235186838E+13
575,43370140,9.7320516442651E+13,5.5507884223034E+13,6.0434462218365E+13
576,44471904,1.00553900312791E+14,5.7294060851633E+13,6.2339594797538E+13
577,45573668,1.03829567342205E+14,5.9100840355619E+13,6.4264762137347E+13
578,46675432,1.07147869284453E+14,6.0928373300793E+13,6.6210094021282E+13
579,47777196,1.10509159853867E+14,6.2776811006882E+13,6.8175720805105E+13
580,48878960,1.13913794732770E+14,6.4646305550127E+13,7.0161773418628E+13
